"crawler_id","keyword","asset_id","account_id","keyword_id","start_url"
8,"Anastasia Beverly Hills",13,11,3,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=anastasia+beverly+hills"
8,"Arizer",4,3,4,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=arizer&catalog=#Homesearch201403"
8,"Brow Wiz",18,11,5,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=brow+wiz&catalog=#Homesearch201403"
8,"Dipbrow",17,11,7,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=dipbrow&catalog=#hpsearch1507"
8,"Moonchild",19,11,20,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=moonchild&catalog=#Homesearch201403"
8,"Schroth",10,8,26,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=schroth"
8,"Sub Ohm Innovations",7,6,27,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=sub+ohm+innovations"
8,"Takata",9,8,28,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=takata&catalog=#hpsearch1507"
8,"Twisted Messes",6,5,29,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=twisted+messes&catalog=#Homesearch201403"
8,"Makeup Eraser",24,18,48,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=makeup+eraser&catalog=#Homesearch201403"
8,"Golf Pride",26,20,50,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=golf+pride&catalog=#hpsearch1507"
8,"Pride Grips",27,20,52,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=pride+grips&catalog=#Homesearch201403"
8,"Huda Beauty",31,24,56,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=huda+beauty"
8,"BH Cosmetics",32,25,57,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=bh+cosmetics&catalog=#Homesearch201403"
8,"Scrub Daddy",33,26,58,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=scrub+daddy"
8,"ABH",35,11,60,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=abh&catalog=#Homesearch201403"
8,"Pro.Conceal",38,9,64,"https://www.dhgate.com/wholesale/search.do?act=search&sus=&searchkey=pro.conceal&catalog=#Homesearch201403"
